,exchange,hedge_type,base_currency,symbol,bid_price,ask_price,timestamp,borrow_rate,maker_fee,taker_fee,days_to_expiration,expiration_date,funding_rate,next_funding_rate_time
481,FTX,Delivery,CHZ,CHZ-0624,0.092905,0.093515,1655917761.568906,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
482,FTX,Delivery,CHZ,CHZ-0930,0.093233,0.093851,1655917761.568916,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
483,FTX,Perpetual,CLV,CLV-PERP,0.099,0.0995,1655917761.568924,0,0.02,0.07,inf,,-0.000126,2022-06-22 15:00:00+00:00
484,FTX,Perpetual,COMP,COMP-PERP,39.22,39.25,1655917761.568932,0,0.02,0.07,inf,,-8e-06,2022-06-22 15:00:00+00:00
485,FTX,Delivery,COMP,COMP-0624,38.99,39.13,1655917761.568942,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
486,FTX,Delivery,COMP,COMP-0930,38.24,38.81,1655917761.56895,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
487,FTX,Perpetual,CREAM,CREAM-PERP,16.5,16.55,1655917761.568958,0,0.02,0.07,inf,,0.0,2022-06-22 15:00:00+00:00
488,FTX,Perpetual,CRO,CRO-PERP,0.114675,0.114775,1655917761.568966,0,0.02,0.07,inf,,3e-06,2022-06-22 15:00:00+00:00
489,FTX,Delivery,CRON,CRON-0624,2.771,2.777,1655917761.568976,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
490,FTX,Delivery,CRON,CRON-0930,2.769,2.78,1655917761.568985,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
491,FTX,Perpetual,CRV,CRV-PERP,0.73925,0.7398,1655917761.568993,0,0.02,0.07,inf,,-5e-05,2022-06-22 15:00:00+00:00
492,FTX,Perpetual,CVC,CVC-PERP,0.1352,0.1354,1655917761.569001,0,0.02,0.07,inf,,-4e-06,2022-06-22 15:00:00+00:00
493,FTX,Perpetual,CVX,CVX-PERP,4.205,4.22,1655917761.569008,0,0.02,0.07,inf,,-0.000172,2022-06-22 15:00:00+00:00
494,FTX,Perpetual,DASH,DASH-PERP,46.05,46.1,1655917761.569016,0,0.02,0.07,inf,,-3e-06,2022-06-22 15:00:00+00:00
495,FTX,Perpetual,DAWN,DAWN-PERP,0.8155,0.8195,1655917761.569024,0,0.02,0.07,inf,,-2e-05,2022-06-22 15:00:00+00:00
496,FTX,Perpetual,DEFI,DEFI-PERP,2634.3,2636.6,1655917761.569032,0,0.02,0.07,inf,,-4.6e-05,2022-06-22 16:00:00+00:00
497,FTX,Delivery,DEFI,DEFI-0624,2639.5,2654.5,1655917761.569041,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
498,FTX,Delivery,DEFI,DEFI-0930,2572.8,2597.9,1655917761.56905,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
499,FTX,Perpetual,DENT,DENT-PERP,0.000897,0.000899,1655917761.569059,0,0.02,0.07,inf,,-2.2e-05,2022-06-22 16:00:00+00:00
500,FTX,Delivery,DKNG,DKNG-0624,12.905,12.96,1655917761.569068,0,0.02,0.07,2.0,2022-06-24 20:00:00+00:00,,
501,FTX,Delivery,DKNG,DKNG-0930,12.91,12.965,1655917761.569078,0,0.02,0.07,100.0,2022-09-30 20:00:00+00:00,,
502,FTX,Perpetual,DODO,DODO-PERP,0.121,0.1215,1655917761.569086,0,0.02,0.07,inf,,1.1e-05,2022-06-22 15:00:00+00:00
503,FTX,Perpetual,DOGE,DOGE-PERP,0.062563,0.062591,1655917761.569094,0,0.02,0.07,inf,,-2e-06,2022-06-22 15:00:00+00:00
504,FTX,Delivery,DOGE,DOGE-0624,0.062453,0.0625425,1655917761.569104,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
505,FTX,Delivery,DOGE,DOGE-0930,0.062147,0.0629905,1655917761.569113,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
506,FTX,Perpetual,DOT,DOT-PERP,7.566,7.569,1655917761.569121,0,0.02,0.07,inf,,-2.3e-05,2022-06-22 15:00:00+00:00
507,FTX,Delivery,DOT,DOT-0624,7.512,7.532,1655917761.569131,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
508,FTX,Delivery,DOT,DOT-0930,7.284,7.364,1655917761.56914,0,0.02,0.07,99.0,2022-09-30 03:00:00+00:00,,
509,FTX,Perpetual,DRGN,DRGN-PERP,1431.8,1436.0,1655917761.569148,0,0.02,0.07,inf,,1.5e-05,2022-06-22 16:00:00+00:00
510,FTX,Delivery,DRGN,DRGN-0624,1436.4,1437.7,1655917761.569158,0,0.02,0.07,1.0,2022-06-24 03:00:00+00:00,,
